Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,Fold,Shift,Shift Intensity,DR,Accuracy
NICO,kNN,id_quantile,water,ind_val,contrast_0.025,contrast,0.025,0.05689102564102564,0.8617788461538461
NICO,kNN,id_quantile,water,ind_val,contrast_0.05,contrast,0.05,0.05488782051282051,0.8425480769230769
NICO,kNN,id_quantile,water,ind_val,contrast_0.07500000000000001,contrast,0.07500000000000001,0.060897435897435896,0.8225160256410257
NICO,kNN,id_quantile,water,ind_val,contrast_0.1,contrast,0.1,0.056490384615384616,0.7980769230769231
NICO,kNN,id_quantile,water,ind_val,contrast_0.125,contrast,0.125,0.06370192307692307,0.7576121794871795
NICO,kNN,id_quantile,water,ind_val,contrast_0.15000000000000002,contrast,0.15000000000000002,0.06690705128205128,0.733573717948718
NICO,kNN,id_quantile,water,ind_val,contrast_0.17500000000000002,contrast,0.17500000000000002,0.06570512820512821,0.7123397435897436
NICO,kNN,id_quantile,water,ind_val,contrast_0.2,contrast,0.2,0.06931089743589744,0.6895032051282052
NICO,kNN,id_quantile,water,ind_val,contrast_0.225,contrast,0.225,0.06370192307692307,0.6550480769230769
NICO,kNN,id_quantile,water,ind_val,contrast_0.25,contrast,0.25,0.05889423076923077,0.657051282051282
NICO,kNN,id_quantile,water,ind_val,contrast_0.275,contrast,0.275,0.06129807692307692,0.6402243589743589
NICO,kNN,id_quantile,water,ind_val,contrast_0.30000000000000004,contrast,0.30000000000000004,0.05608974358974359,0.6137820512820513
NICO,kNN,id_quantile,water,ind_val,contrast_0.325,contrast,0.325,0.05488782051282051,0.5913461538461539
NICO,kNN,id_quantile,water,ind_val,contrast_0.35000000000000003,contrast,0.35000000000000003,0.05568910256410257,0.5845352564102564
NICO,kNN,id_quantile,water,ind_val,contrast_0.375,contrast,0.375,0.06290064102564102,0.5989583333333334
NICO,kNN,id_quantile,water,ind_val,contrast_0.4,contrast,0.4,0.058493589743589744,0.6069711538461539
NICO,kNN,id_quantile,water,ind_val,contrast_0.42500000000000004,contrast,0.42500000000000004,0.055288461538461536,0.5953525641025641
NICO,kNN,id_quantile,water,ind_val,contrast_0.45,contrast,0.45,0.06129807692307692,0.6077724358974359
NICO,kNN,id_quantile,water,ind_val,contrast_0.47500000000000003,contrast,0.47500000000000003,0.06009615384615385,0.5841346153846154
NICO,kNN,id_quantile,water,ind_val,contrast_0.5,contrast,0.5,0.06129807692307692,0.594551282051282
NICO,kNN,id_quantile,water,ind_val,smear_0.025,smear,0.025,0.058493589743589744,0.8613782051282052
NICO,kNN,id_quantile,water,ind_val,smear_0.05,smear,0.05,0.060897435897435896,0.8621794871794872
