Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,Fold,Shift,Shift Intensity,DR,Accuracy
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.025,jpeg,0.025,0.025,0.37142857142857144
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.05,jpeg,0.05,0.02142857142857143,0.37142857142857144
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.07500000000000001,jpeg,0.07500000000000001,0.025,0.3678571428571429
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.1,jpeg,0.1,0.02142857142857143,0.3678571428571429
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.125,jpeg,0.125,0.025,0.3678571428571429
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.15000000000000002,jpeg,0.15000000000000002,0.02142857142857143,0.36428571428571427
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.17500000000000002,jpeg,0.17500000000000002,0.025,0.36428571428571427
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.2,jpeg,0.2,0.025,0.37142857142857144
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.225,jpeg,0.225,0.02142857142857143,0.37142857142857144
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.25,jpeg,0.25,0.02142857142857143,0.375
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.275,jpeg,0.275,0.025,0.3678571428571429
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.30000000000000004,jpeg,0.30000000000000004,0.025,0.375
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.325,jpeg,0.325,0.025,0.375
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.35000000000000003,jpeg,0.35000000000000003,0.025,0.36428571428571427
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.375,jpeg,0.375,0.025,0.36428571428571427
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.4,jpeg,0.4,0.02142857142857143,0.37142857142857144
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.42500000000000004,jpeg,0.42500000000000004,0.025,0.37142857142857144
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.45,jpeg,0.45,0.025,0.375
Office31,kNN,id_quantile,dslr,ind_val,jpeg_0.47500000000000003,jpeg,0.47500000000000003,0.025,0.3678571428571429
