,Tree,t,Risk Estimate,True Risk,E[f(x)=y],E[f(x)=y]_zero_ood,Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,tpr,tnr,Rate Error,Accuracy Error,dsd,rate,test_set,val_set,Model,heldout_shift_type
0,Base Tree,350.5,2060.298234138116,1774.2781954887218,0.7663445517806367,0.7530614757296583,0.813233082706767,0.00799498746867168,0.0,0.023809198128220754,0.7714285714285716,0.5578968253968254,0.8178571428571427,0.30589285714285713,0.9964285714285714,0.023809198128220754,0.0495742442061331,kNN,0.0,brightness_0.025,brightness,resnet,brightness
1,Detector Tree,350.5,2043.9184358698617,1768.743859649123,0.7644293961430338,0.7513445572339039,0.813233082706767,0.00799498746867168,0.0,0.023809198128220754,0.7714285714285716,0.5578968253968254,0.8178571428571427,0.30589285714285713,0.9964285714285714,0.023809198128220754,0.051146775335420405,kNN,0.0,brightness_0.025,brightness,resnet,brightness
0,Base Tree,350.5,2065.536430011734,1799.5037593984962,0.7654858311456174,0.7499591659090348,0.8090977443609022,0.00799498746867168,0.10533834586466166,0.027830710858658774,0.7714285714285716,0.5578968253968254,0.8178571428571427,0.30589285714285713,0.9964285714285714,0.07216928914134123,0.046494250989515415,kNN,0.1,brightness_0.025,brightness,resnet,brightness
1,Detector Tree,350.5,2043.84191062946,1793.9694235588975,0.763544265108385,0.7482493204256203,0.8090977443609022,0.00799498746867168,0.10533834586466166,0.027830710858658774,0.7714285714285716,0.5578968253968254,0.8178571428571427,0.30589285714285713,0.9964285714285714,0.07216928914134123,0.04801890904034155,kNN,0.1,brightness_0.025,brightness,resnet,brightness
0,Base Tree,350.5,2072.1060411630615,1780.8521303258146,0.7644088457109736,0.7460683283603491,0.812155388471178,0.008295739348370927,0.19887218045112784,0.03287438916251055,0.7714285714285716,0.5578968253968254,0.8178571428571427,0.30589285714285713,0.9964285714285714,0.16712561083748945,0.04921445776847538,kNN,0.2,brightness_0.025,brightness,resnet,brightness
1,Detector Tree,350.5,2043.7459346322216,1775.684711779449,0.7624341564267105,0.7443673536679213,0.812155388471178,0.008295739348370927,0.19887218045112784,0.03287438916251055,0.7714285714285716,0.5578968253968254,0.8178571428571427,0.30589285714285713,0.9964285714285714,0.16712561083748945,0.05096208582957399,kNN,0.2,brightness_0.025,brightness,resnet,brightness
0,Base Tree,350.5,2072.1060411630615,1862.3383458646617,0.7644088457109736,0.7460683283603491,0.7987969924812031,0.008295739348370927,0.2867669172932331,0.03287438916251055,0.7714285714285716,0.5578968253968254,0.8178571428571427,0.30589285714285713,0.9964285714285714,0.2671256108374895,0.04086193591780948,kNN,0.30000000000000004,brightness_0.025,brightness,resnet,brightness
1,Detector Tree,350.5,2043.7459346322216,1857.1709273182955,0.7624341564267105,0.7443673536679213,0.7987969924812031,0.008295739348370927,0.2867669172932331,0.03287438916251055,0.7714285714285716,0.5578968253968254,0.8178571428571427,0.30589285714285713,0.9964285714285714,0.2671256108374895,0.04199762507512465,kNN,0.30000000000000004,brightness_0.025,brightness,resnet,brightness
0,Base Tree,350.5,2081.8166878704933,1807.6065162907269,0.7628169364146732,0.7403172195106787,0.8077694235588972,0.01268170426065163,0.4069924812030076,0.04032953026393512,0.7714285714285716,0.5578968253968254,0.8178571428571427,0.30589285714285713,0.9964285714285714,0.3596704697360649,0.04965061798027257,kNN,0.4,brightness_0.025,brightness,resnet,brightness
1,Detector Tree,350.5,2043.604070984571,1807.7899749373432,0.7607932871322751,0.7386293568754645,0.8077694235588972,0.01268170426065163,0.4069924812030076,0.04032953026393512,0.7714285714285716,0.5578968253968254,0.8178571428571427,0.30589285714285713,0.9964285714285714,0.3596704697360649,0.050968221254378464,kNN,0.4,brightness_0.025,brightness,resnet,brightness
