Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,Fold,Shift,Shift Intensity,DR,Accuracy
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.025,hue,0.025,0.043870192307692304,0.9765625
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.05,hue,0.05,0.056490384615384616,0.9765625
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.07500000000000001,hue,0.07500000000000001,0.0985576923076923,0.9741586538461539
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.1,hue,0.1,0.16286057692307693,0.9579326923076923
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.125,hue,0.125,0.22235576923076922,0.9302884615384616
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.15000000000000002,hue,0.15000000000000002,0.2626201923076923,0.9014423076923077
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.17500000000000002,hue,0.17500000000000002,0.2956730769230769,0.8725961538461539
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.2,hue,0.2,0.31430288461538464,0.8527644230769231
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.225,hue,0.225,0.33533653846153844,0.8455528846153846
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.25,hue,0.25,0.3401442307692308,0.8335336538461539
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.275,hue,0.275,0.34375,0.8251201923076923
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.30000000000000004,hue,0.30000000000000004,0.34555288461538464,0.8197115384615384
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.325,hue,0.325,0.3485576923076923,0.8185096153846154
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.35000000000000003,hue,0.35000000000000003,0.3515625,0.8149038461538461
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.375,hue,0.375,0.35336538461538464,0.8137019230769231
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.4,hue,0.4,0.3545673076923077,0.8076923076923077
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.42500000000000004,hue,0.42500000000000004,0.35757211538461536,0.8064903846153846
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.45,hue,0.45,0.35997596153846156,0.8070913461538461
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.47500000000000003,hue,0.47500000000000003,0.3605769230769231,0.8094951923076923
CCT,kNN,id_quantile,OoD Val,ind_val,hue_0.5,hue,0.5,0.35997596153846156,0.8100961538461539
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.025,adv,0.025,0.0,0.14002403846153846
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.05,adv,0.05,0.0,0.11838942307692307
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.07500000000000001,adv,0.07500000000000001,0.06971153846153846,0.1310096153846154
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.1,adv,0.1,0.06610576923076923,0.14483173076923078
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.125,adv,0.125,0.006610576923076923,0.14903846153846154
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.15000000000000002,adv,0.15000000000000002,0.009014423076923076,0.1201923076923077
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.17500000000000002,adv,0.17500000000000002,0.026442307692307692,0.09795673076923077
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.2,adv,0.2,0.08052884615384616,0.08413461538461539
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.225,adv,0.225,0.22355769230769232,0.06790865384615384
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.25,adv,0.25,0.3389423076923077,0.06490384615384616
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.275,adv,0.275,0.4417067307692308,0.06911057692307693
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.30000000000000004,adv,0.30000000000000004,0.7253605769230769,0.06790865384615384
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.325,adv,0.325,0.8455528846153846,0.06911057692307693
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.35000000000000003,adv,0.35000000000000003,0.8828125,0.06129807692307692
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.375,adv,0.375,0.9615384615384616,0.05709134615384615
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.4,adv,0.4,0.9963942307692307,0.078125
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.42500000000000004,adv,0.42500000000000004,1.0,0.09555288461538461
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.45,adv,0.45,1.0,0.11117788461538461
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.47500000000000003,adv,0.47500000000000003,1.0,0.12439903846153846
CCT,kNN,id_quantile,OoD Val,ind_val,adv_0.5,adv,0.5,1.0,0.13942307692307693
CCT,kNN,id_quantile,OoD Val,ind_val,smear_0.025,smear,0.025,0.2548076923076923,0.9525240384615384
CCT,kNN,id_quantile,OoD Val,ind_val,smear_0.05,smear,0.05,0.3245192307692308,0.9362980769230769
CCT,kNN,id_quantile,OoD Val,ind_val,smear_0.07500000000000001,smear,0.07500000000000001,0.25841346153846156,0.9453125
