Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,Fold,Shift,Shift Intensity,DR,Accuracy
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.025,jpeg,0.025,0.04285714285714286,0.8285714285714286
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.05,jpeg,0.05,0.04285714285714286,0.8285714285714286
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.07500000000000001,jpeg,0.07500000000000001,0.05,0.8285714285714286
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.1,jpeg,0.1,0.05,0.8285714285714286
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.125,jpeg,0.125,0.05,0.8285714285714286
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.15000000000000002,jpeg,0.15000000000000002,0.04642857142857143,0.825
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.17500000000000002,jpeg,0.17500000000000002,0.05,0.8285714285714286
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.2,jpeg,0.2,0.05,0.825
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.225,jpeg,0.225,0.05,0.825
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.25,jpeg,0.25,0.05,0.8178571428571428
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.275,jpeg,0.275,0.05,0.825
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.30000000000000004,jpeg,0.30000000000000004,0.04642857142857143,0.8214285714285714
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.325,jpeg,0.325,0.05,0.825
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.35000000000000003,jpeg,0.35000000000000003,0.05,0.8214285714285714
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.375,jpeg,0.375,0.04642857142857143,0.8178571428571428
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.4,jpeg,0.4,0.04642857142857143,0.8214285714285714
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.42500000000000004,jpeg,0.42500000000000004,0.04642857142857143,0.8214285714285714
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.45,jpeg,0.45,0.04642857142857143,0.8214285714285714
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.47500000000000003,jpeg,0.47500000000000003,0.04642857142857143,0.825
Office31,kNN,id_quantile,webcam,ind_val,jpeg_0.5,jpeg,0.5,0.04285714285714286,0.8178571428571428
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.025,contrast,0.025,0.04285714285714286,0.825
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.05,contrast,0.05,0.044642857142857144,0.8196428571428571
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.07500000000000001,contrast,0.07500000000000001,0.039285714285714285,0.8178571428571428
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.1,contrast,0.1,0.044642857142857144,0.8178571428571428
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.125,contrast,0.125,0.04107142857142857,0.8142857142857143
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.15000000000000002,contrast,0.15000000000000002,0.04285714285714286,0.8125
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.17500000000000002,contrast,0.17500000000000002,0.04107142857142857,0.8071428571428572
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.2,contrast,0.2,0.04107142857142857,0.7964285714285714
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.225,contrast,0.225,0.04285714285714286,0.7910714285714285
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.25,contrast,0.25,0.04642857142857143,0.7839285714285714
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.275,contrast,0.275,0.04642857142857143,0.775
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.30000000000000004,contrast,0.30000000000000004,0.05178571428571429,0.7642857142857142
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.325,contrast,0.325,0.05714285714285714,0.7517857142857143
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.35000000000000003,contrast,0.35000000000000003,0.05714285714285714,0.7482142857142857
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.375,contrast,0.375,0.05357142857142857,0.7553571428571428
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.4,contrast,0.4,0.05357142857142857,0.7607142857142857
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.42500000000000004,contrast,0.42500000000000004,0.05178571428571429,0.7642857142857142
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.45,contrast,0.45,0.05,0.7696428571428572
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.47500000000000003,contrast,0.47500000000000003,0.05178571428571429,0.7714285714285715
Office31,kNN,id_quantile,webcam,ind_val,contrast_0.5,contrast,0.5,0.05178571428571429,0.7732142857142857
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.025,brightness,0.025,0.04285714285714286,0.8178571428571428
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.05,brightness,0.05,0.04642857142857143,0.8107142857142857
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.07500000000000001,brightness,0.07500000000000001,0.04642857142857143,0.8107142857142857
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.1,brightness,0.1,0.04285714285714286,0.8
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.125,brightness,0.125,0.04642857142857143,0.8035714285714286
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.15000000000000002,brightness,0.15000000000000002,0.05,0.8
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.17500000000000002,brightness,0.17500000000000002,0.05714285714285714,0.7785714285714286
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.2,brightness,0.2,0.060714285714285714,0.7785714285714286
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.225,brightness,0.225,0.06428571428571428,0.7714285714285715
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.25,brightness,0.25,0.06428571428571428,0.7607142857142857
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.275,brightness,0.275,0.06785714285714285,0.7571428571428571
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.30000000000000004,brightness,0.30000000000000004,0.06428571428571428,0.7607142857142857
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.325,brightness,0.325,0.06785714285714285,0.7535714285714286
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.35000000000000003,brightness,0.35000000000000003,0.07142857142857142,0.7571428571428571
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.375,brightness,0.375,0.06428571428571428,0.7678571428571429
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.4,brightness,0.4,0.05,0.8
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.42500000000000004,brightness,0.42500000000000004,0.04285714285714286,0.8035714285714286
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.45,brightness,0.45,0.04285714285714286,0.8178571428571428
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.47500000000000003,brightness,0.47500000000000003,0.04285714285714286,0.8321428571428572
Office31,kNN,id_quantile,webcam,ind_val,brightness_0.5,brightness,0.5,0.03571428571428571,0.8178571428571428
Office31,kNN,id_quantile,webcam,ind_val,smear_0.025,smear,0.025,0.04642857142857143,0.8214285714285714
Office31,kNN,id_quantile,webcam,ind_val,smear_0.05,smear,0.05,0.04285714285714286,0.8035714285714286
Office31,kNN,id_quantile,webcam,ind_val,smear_0.07500000000000001,smear,0.07500000000000001,0.05357142857142857,0.8178571428571428
Office31,kNN,id_quantile,webcam,ind_val,smear_0.1,smear,0.1,0.04642857142857143,0.8178571428571428
Office31,kNN,id_quantile,webcam,ind_val,smear_0.125,smear,0.125,0.03571428571428571,0.7964285714285714
Office31,kNN,id_quantile,webcam,ind_val,smear_0.15000000000000002,smear,0.15000000000000002,0.05357142857142857,0.8035714285714286
Office31,kNN,id_quantile,webcam,ind_val,smear_0.17500000000000002,smear,0.17500000000000002,0.05,0.7857142857142857
Office31,kNN,id_quantile,webcam,ind_val,smear_0.2,smear,0.2,0.04642857142857143,0.7892857142857143
Office31,kNN,id_quantile,webcam,ind_val,smear_0.225,smear,0.225,0.03214285714285714,0.7892857142857143
Office31,kNN,id_quantile,webcam,ind_val,smear_0.25,smear,0.25,0.03571428571428571,0.7964285714285714
Office31,kNN,id_quantile,webcam,ind_val,smear_0.275,smear,0.275,0.025,0.7857142857142857
Office31,kNN,id_quantile,webcam,ind_val,smear_0.30000000000000004,smear,0.30000000000000004,0.025,0.775
Office31,kNN,id_quantile,webcam,ind_val,smear_0.325,smear,0.325,0.025,0.7642857142857142
Office31,kNN,id_quantile,webcam,ind_val,smear_0.35000000000000003,smear,0.35000000000000003,0.025,0.7607142857142857
Office31,kNN,id_quantile,webcam,ind_val,smear_0.375,smear,0.375,0.02857142857142857,0.7428571428571429
Office31,kNN,id_quantile,webcam,ind_val,smear_0.4,smear,0.4,0.02142857142857143,0.7357142857142858
Office31,kNN,id_quantile,webcam,ind_val,smear_0.42500000000000004,smear,0.42500000000000004,0.025,0.7321428571428571
Office31,kNN,id_quantile,webcam,ind_val,smear_0.45,smear,0.45,0.025,0.7178571428571429
