Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,Fold,Shift,Shift Intensity,DR,Accuracy
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.025,fog,0.025,0.05092592592592592,0.3611111111111111
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.05,fog,0.05,0.05324074074074074,0.3611111111111111
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.07500000000000001,fog,0.07500000000000001,0.05092592592592592,0.35185185185185186
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.1,fog,0.1,0.04861111111111111,0.3472222222222222
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.125,fog,0.125,0.05324074074074074,0.3541666666666667
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.15000000000000002,fog,0.15000000000000002,0.05324074074074074,0.35185185185185186
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.17500000000000002,fog,0.17500000000000002,0.05324074074074074,0.35648148148148145
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.2,fog,0.2,0.05324074074074074,0.35648148148148145
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.225,fog,0.225,0.05092592592592592,0.35648148148148145
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.25,fog,0.25,0.05324074074074074,0.34953703703703703
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.275,fog,0.275,0.05324074074074074,0.35185185185185186
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.30000000000000004,fog,0.30000000000000004,0.041666666666666664,0.2800925925925926
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.325,fog,0.325,0.04398148148148148,0.2847222222222222
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.35000000000000003,fog,0.35000000000000003,0.046296296296296294,0.27546296296296297
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.375,fog,0.375,0.046296296296296294,0.2800925925925926
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.4,fog,0.4,0.041666666666666664,0.2824074074074074
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.42500000000000004,fog,0.42500000000000004,0.03935185185185185,0.2800925925925926
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.45,fog,0.45,0.04398148148148148,0.27546296296296297
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.47500000000000003,fog,0.47500000000000003,0.046296296296296294,0.2824074074074074
OfficeHome,kNN,id_quantile,Art,ind_val,fog_0.5,fog,0.5,0.04398148148148148,0.2777777777777778
OfficeHome,kNN,id_quantile,Art,ind_val,adv_0.025,adv,0.025,0.9351851851851852,0.125
OfficeHome,kNN,id_quantile,Art,ind_val,adv_0.05,adv,0.05,1.0,0.0763888888888889
OfficeHome,kNN,id_quantile,Art,ind_val,adv_0.07500000000000001,adv,0.07500000000000001,1.0,0.05555555555555555
OfficeHome,kNN,id_quantile,Art,ind_val,adv_0.1,adv,0.1,1.0,0.041666666666666664
OfficeHome,kNN,id_quantile,Art,ind_val,adv_0.125,adv,0.125,1.0,0.041666666666666664
OfficeHome,kNN,id_quantile,Art,ind_val,adv_0.15000000000000002,adv,0.15000000000000002,1.0,0.037037037037037035
