ds,arch,config,benign_n,pred_MAE,D1_reported,D1_true,D1_skew,D2_reported,D2_true,D2_skew
CCT,resnet,ensemble8,127,0.09026885820428199,0.5276634958834049,0.4330708682537079,0.094592627629697,0.0881641019713039,1.0,-0.9118358980286961
CCT,resnet,maha,127,0.06197746029965229,1.0,0.0,1.0,0.07033719313145825,1.0,-0.9296628068685417
OfficeHome,resnet,ensemble8,35,0.03862552154721826,0.20113047834035985,0.0,0.20113047834035985,0.12272479077197543,1.0,-0.8772752092280246
OfficeHome,resnet,maha,35,0.03126091900126973,0.3912056122905181,0.0,0.3912056122905181,0.02150646043795329,1.0,-0.9784935395620467
Office31,resnet,ensemble8,103,0.08526493587770059,0.4259435054818932,0.0,0.4259435054818932,0.3017982405607304,1.0,-0.6982017594392695
Office31,resnet,maha,103,0.05895073500508966,1.0,0.0,1.0,0.08575602167906571,1.0,-0.9142439783209343
NICO,resnet,ensemble8,131,0.08050510280479996,0.4162369307996445,0.0,0.4162369307996445,0.17934384739922604,1.0,-0.820656152600774
NICO,resnet,maha,131,0.05053512386216133,0.7054911232022193,0.0,0.7054911232022193,0.019886608452952315,1.0,-0.9801133915470477
Camelyon17,resnet,ensemble8,103,0.14675870286152104,0.6884700086543405,0.0,0.6884700086543405,0.4718413497824116,1.0,-0.5281586502175883
Camelyon17,resnet,maha,103,0.1384203902179349,0.7864752959574778,0.0,0.7864752959574778,0.4125907506668766,1.0,-0.5874092493331233
IWildCam,resnet,ensemble8,55,0.06831276284214313,0.4242631573744524,0.0,0.4242631573744524,0.2232059427728933,0.9636363387107849,-0.7404303959378916
IWildCam,resnet,maha,55,0.06686146096748735,0.6241232749393082,0.0,0.6241232749393082,0.19998645996796816,0.9999999403953552,-0.8000134804273871
