ds,arch,detector,channel,slope,r2,pred_MAE
CCT,resnet,msp,logit,-1.148760169416317,0.22276230675137543,0.2927409155384642
CCT,resnet,energy,logit,-1.3172797258895954,0.24030784019061546,0.28695311357333936
CCT,resnet,entropy,logit,-1.1382458948805234,0.2212451175002237,0.29341345100191274
CCT,resnet,gradnorm,logit,-0.8894041318715276,0.775094695299531,0.11759557117877194
CCT,resnet,mahalanobis,feat,-0.9135258101099002,0.8442902764018472,0.10658086611091926
CCT,resnet,knn,feat,-0.9542538586373905,0.9480904158616603,0.06138506318819234
CCT,resnet,vim,feat,-0.9575685811393647,0.8924840027033561,0.08419963396352398
CCT,resnet,react,logit,-0.9809461922046114,0.8401519500715944,0.08359775866151672
CCT,resnet,atc,logit,-1.0938671859049982,0.21467767215679845,0.2948452539633868
CCT,resnet,atc_ne,logit,-1.0901047348141346,0.21383572105562665,0.29504325710522716
CCT,resnet,nuclear,batch,0.500675047925694,0.9294140546586767,0.07067041740811128
CCT,resnet,naive,const,0.0,0.0,0.30262818241637224
