ds,arch,target,pred_MAE,ens_members,n_ens,D1_skew,D2_skew,D1_fire_logit_only,D1_fire_feat_only,D1_fire_both,D1_fire_hidden
CCT,resnet,ensemble,0.06289294885091097,gradnorm|mahalanobis|knn|vim|react|nuclear,6.0,0.7186412337337346,-0.35998812365605654,0.0,0.1764705926179886,0.0,0.8235294222831726
CCT,resnet,msp,0.2927409155384642,,,0.46498728761728403,-0.14782530722950826,,,,
CCT,resnet,energy,0.28695311357333936,,,0.6349156116451964,-0.6274510025978088,,,,
CCT,resnet,entropy,0.29341345100191274,,,0.46517558360880684,-0.1454379472571864,,,,
CCT,resnet,gradnorm,0.11759557117877194,,,0.6532033271500259,-0.41691757962311293,,,,
CCT,resnet,mahalanobis,0.10658086611091926,,,0.7167752565126195,-0.4319721728179219,,,,
CCT,resnet,knn,0.06138506318819234,,,0.7082823226283114,-0.5249662618137074,,,,
CCT,resnet,vim,0.08419963396352398,,,0.7450980246067047,-0.4571834027477256,,,,
CCT,resnet,react,0.08359775866151672,,,0.7433904468980413,-0.5652248840395174,,,,
CCT,resnet,atc,0.2948452539633868,,,0.4004993895587269,-0.20083231971413457,,,,
CCT,resnet,atc_ne,0.29504325710522716,,,0.4007002213468026,-0.1998445700416846,,,,
CCT,resnet,nuclear,0.07067041740811128,,,0.7450980246067047,0.23633555910564585,,,,
CCT,resnet,naive,0.30262818241637224,,,0.6708792746067047,0.29833024740219116,,,,
