attack,readout,evade_rate,clean_flag,z_reduction
msp,msp,0.828125,1.0,69046.0703125
msp,energy,0.515625,1.0,2.8482885360717773
msp,entropy,0.828125,1.0,83364.2578125
msp,gradnorm,0.0,1.0,-0.19973516464233398
msp,mahalanobis,0.0,1.0,-0.2823287546634674
msp,knn,0.0,1.0,-0.02177758701145649
msp,vim,0.078125,0.59375,-2.19099760055542
msp,react,0.734375,0.015625,-0.24683332443237305
energy,msp,0.953125,1.0,233636.40625
energy,energy,1.0,1.0,30.914878845214844
energy,entropy,0.953125,1.0,284854.9375
energy,gradnorm,0.0,1.0,-9.62735652923584
energy,mahalanobis,0.0,1.0,-7.705705642700195
energy,knn,0.0,1.0,-6.980608940124512
energy,vim,0.0,0.59375,-31.036598205566406
energy,react,0.0,0.015625,-61.237457275390625
entropy,msp,0.828125,1.0,72374.71875
entropy,energy,0.5625,1.0,3.725965738296509
entropy,entropy,0.828125,1.0,93912.7421875
entropy,gradnorm,0.0,1.0,0.51191645860672
entropy,mahalanobis,0.0,1.0,0.41639962792396545
entropy,knn,0.0,1.0,0.654214084148407
entropy,vim,0.078125,0.59375,-2.1146955490112305
entropy,react,0.71875,0.015625,-0.2910158634185791
gradnorm,msp,1.0,1.0,818908.0625
gradnorm,energy,1.0,1.0,4.933442115783691
gradnorm,entropy,1.0,1.0,1513776.0
gradnorm,gradnorm,1.0,1.0,7.039615631103516
gradnorm,mahalanobis,0.015625,1.0,2.649202585220337
gradnorm,knn,1.0,1.0,3.993391990661621
gradnorm,vim,1.0,0.59375,1.7163065671920776
gradnorm,react,1.0,0.015625,34.42971420288086
mahalanobis,msp,1.0,1.0,446943.25
mahalanobis,energy,1.0,1.0,6.854085445404053
mahalanobis,entropy,1.0,1.0,668810.0
mahalanobis,gradnorm,0.984375,1.0,5.829703330993652
mahalanobis,mahalanobis,1.0,1.0,2.6935298442840576
mahalanobis,knn,0.984375,1.0,4.07274055480957
mahalanobis,vim,0.984375,0.59375,0.7273701429367065
mahalanobis,react,0.59375,0.015625,-1.0816808938980103
knn,msp,0.75,1.0,134410.5625
knn,energy,0.921875,1.0,4.88303279876709
knn,entropy,0.765625,1.0,197418.78125
knn,gradnorm,0.796875,1.0,5.452591419219971
knn,mahalanobis,0.734375,1.0,2.657456874847412
knn,knn,0.953125,1.0,4.263258934020996
knn,vim,0.96875,0.59375,1.9076054096221924
knn,react,0.90625,0.015625,9.790945053100586
vim,msp,0.0,1.0,0.0
vim,energy,0.0,1.0,-14.489404678344727
vim,entropy,0.0,1.0,-0.1366778016090393
vim,gradnorm,0.0,1.0,0.31293371319770813
vim,mahalanobis,0.0,1.0,0.9964802861213684
vim,knn,0.0,1.0,-0.24877487123012543
vim,vim,1.0,0.59375,12.800454139709473
vim,react,1.0,0.015625,17.37364387512207
react,msp,0.0,1.0,0.0
react,energy,0.0,1.0,-2.838313102722168
react,entropy,0.0,1.0,0.04398749768733978
react,gradnorm,0.0,1.0,3.7997498512268066
react,mahalanobis,0.0,1.0,2.0290496349334717
react,knn,0.0,1.0,2.9308016300201416
react,vim,1.0,0.59375,5.555351734161377
react,react,1.0,0.015625,54.18900680541992
