ds,monitor,benign_reported,benign_true,benign_skew
CCT,msp,0.8850704711139774,1.0,-0.11492952888602259
CCT,energy,0.8898175870384917,1.0,-0.11018241296150832
CCT,entropy,0.8837469105697399,1.0,-0.11625308943026014
CCT,gradnorm,0.9081053025433212,1.0,-0.09189469745667878
CCT,mahalanobis,1.0,1.0,0.0
CCT,knn,1.0,1.0,0.0
CCT,vim,1.0,1.0,0.0
CCT,react,0.9982924222913366,1.0,-0.0017075777086633659
CCT,atc,0.88418404702037,1.0,-0.11581595297962999
CCT,atc_ne,0.8835979609240715,1.0,-0.1164020390759285
CCT,nuclear,0.9942280198508279,1.0,-0.005771980149172129
CCT,naive,0.9296875,1.0,-0.0703125
CCT,ensemble,0.9834376241142476,1.0,-0.01656237588575238
OfficeHome,msp,0.29047611522259065,1.0,-0.7095238847774094
OfficeHome,energy,0.29140893278158564,1.0,-0.7085910672184144
OfficeHome,entropy,0.29050446444012146,1.0,-0.7094955355598785
OfficeHome,gradnorm,0.3115805966045784,1.0,-0.6884194033954216
OfficeHome,mahalanobis,0.31679766885320415,1.0,-0.6832023311467958
OfficeHome,knn,0.3249093497699114,1.0,-0.6750906502300886
OfficeHome,vim,0.3251707486122251,1.0,-0.6748292513877749
OfficeHome,react,0.21599225747509004,1.0,-0.7840077425249099
OfficeHome,atc,0.01727236303579388,1.0,-0.9827276369642062
OfficeHome,atc_ne,0.02096899888471096,1.0,-0.9790310011152891
OfficeHome,nuclear,0.3068687095111423,1.0,-0.6931312904888577
OfficeHome,naive,0.3984375,1.0,-0.6015625
OfficeHome,ensemble,0.2495957947715864,1.0,-0.7504042052284137
Office31,msp,0.591459824710239,1.0,-0.40854017528976105
Office31,energy,0.7258550438563195,1.0,-0.2741449561436805
Office31,entropy,0.42543904058025733,1.0,-0.5745609594197427
Office31,gradnorm,0.7007538924994972,1.0,-0.29924610750050284
Office31,mahalanobis,0.8950547713963439,1.0,-0.10494522860365607
Office31,knn,0.8404580982437905,1.0,-0.15954190175620953
Office31,vim,0.8536568760955201,1.0,-0.1463431239044799
Office31,react,0.41464487891695867,1.0,-0.5853551210830413
Office31,atc,0.7631522769226895,1.0,-0.2368477230773105
Office31,atc_ne,0.7570815608625112,1.0,-0.24291843913748878
Office31,nuclear,0.9435028353497754,1.0,-0.056497164650224585
Office31,naive,0.7734375,1.0,-0.2265625
Office31,ensemble,0.8265469195735412,1.0,-0.1734530804264588
NICO,msp,0.56250001377829,1.0,-0.43749998622171005
NICO,energy,0.8751606151081888,1.0,-0.12483938489181123
NICO,entropy,0.4636160437622042,1.0,-0.5363839562377958
NICO,gradnorm,0.7950398647689034,1.0,-0.20496013523109657
NICO,mahalanobis,0.8397200281306147,1.0,-0.16027997186938525
NICO,knn,0.8542227040924157,1.0,-0.14577729590758426
NICO,vim,0.7884256130373788,1.0,-0.2115743869626212
NICO,react,0.7122182830743946,1.0,-0.2877817169256054
NICO,atc,0.7931125652605073,1.0,-0.20688743473949267
NICO,atc_ne,0.784628952957179,1.0,-0.21537104704282095
NICO,nuclear,1.0,1.0,0.0
NICO,naive,0.92578125,1.0,-0.07421875
NICO,ensemble,0.8587614708562503,1.0,-0.14123852914374968
IWildCam,msp,0.5105451047239835,1.0,-0.4894548952760165
IWildCam,energy,0.5087111205537898,1.0,-0.49128887944621025
IWildCam,entropy,0.5114081580022777,1.0,-0.4885918419977223
IWildCam,gradnorm,0.5238088908001022,1.0,-0.4761911091998978
IWildCam,mahalanobis,0.5687534574613283,1.0,-0.4312465425386717
IWildCam,knn,0.5722662941535709,1.0,-0.4277337058464291
IWildCam,vim,0.5655899044097452,1.0,-0.4344100955902548
IWildCam,react,0.5100929005018299,1.0,-0.48990709949817013
IWildCam,atc,0.2930062198696648,1.0,-0.7069937801303352
IWildCam,atc_ne,0.28978353989318306,1.0,-0.7102164601068169
IWildCam,nuclear,0.5896179998607949,1.0,-0.4103820001392051
IWildCam,naive,0.6875,1.0,-0.3125
IWildCam,ensemble,0.4948712354754791,1.0,-0.5051287645245208
Camelyon17,msp,0.756353443396007,1.0,-0.24364655660399304
Camelyon17,energy,0.8005064093710252,1.0,-0.19949359062897476
Camelyon17,entropy,0.756353443396007,1.0,-0.24364655660399304
Camelyon17,gradnorm,0.725147262612867,1.0,-0.274852737387133
Camelyon17,mahalanobis,0.9193375164983084,1.0,-0.08066248350169158
Camelyon17,knn,0.8821086134596552,1.0,-0.11789138654034481
Camelyon17,vim,0.9822256050292442,1.0,-0.017774394970755836
Camelyon17,react,0.8839748122165645,1.0,-0.11602518778343551
Camelyon17,atc,0.7995524907315397,1.0,-0.20044750926846033
Camelyon17,atc_ne,0.7995524907315397,1.0,-0.20044750926846033
Camelyon17,nuclear,0.8958760085477904,1.0,-0.10412399145220963
Camelyon17,naive,0.9765625,1.0,-0.0234375
Camelyon17,ensemble,0.8938458410805171,1.0,-0.10615415891948288
