ds,arch,detector,channel,slope,r2,pred_MAE
CCT,resnet,msp,logit,-1.148760169416317,0.2227623067513754,0.2927409155384642
CCT,resnet,energy,logit,-1.3172797258895954,0.2403078401906154,0.2869531135733393
CCT,resnet,entropy,logit,-1.1382458948805234,0.2212451175002238,0.2934134510019127
CCT,resnet,gradnorm,logit,-0.8894041318715276,0.775094695299531,0.1175955711787719
CCT,resnet,mahalanobis,feat,-0.9135258101099002,0.8442902764018472,0.1065808661109192
CCT,resnet,knn,feat,-0.9542538586373904,0.9480904158616604,0.0613850631881923
CCT,resnet,vim,feat,-0.957568581139365,0.892484002703356,0.0841996339635239
CCT,resnet,react,logit,-0.9809461922046114,0.8401519500715944,0.0835977586615167
CCT,resnet,atc,logit,-1.0938671859049982,0.2146776721567985,0.2948452539633868
CCT,resnet,atc_ne,logit,-1.0901047348141346,0.2138357210556266,0.2950432571052271
CCT,resnet,nuclear,batch,0.500675047925694,0.9294140546586768,0.0706704174081112
CCT,resnet,naive,const,0.0,0.0,0.3030437409270106
OfficeHome,resnet,msp,logit,-0.3065489294169767,0.4997351068392405,0.0765921605390871
OfficeHome,resnet,energy,logit,-0.3144501185682526,0.5210240482457273,0.0754670295444572
OfficeHome,resnet,entropy,logit,-0.3064668383552182,0.5011359634532496,0.0765063726736052
OfficeHome,resnet,gradnorm,logit,-0.2937609046072356,0.6729168351219605,0.0611898516276397
OfficeHome,resnet,mahalanobis,feat,-0.2922307543230928,0.7416884378063264,0.0538072290758048
OfficeHome,resnet,knn,feat,-0.3040415996609605,0.7483206606221509,0.0530443389661577
OfficeHome,resnet,vim,feat,-0.6409628331965291,0.6142919722680895,0.0684557672608907
OfficeHome,resnet,react,logit,0.2505409055108122,0.0070394420733977,0.1203488137174538
OfficeHome,resnet,atc,logit,0.4071921602271808,0.5219004498431852,0.0748153698240179
OfficeHome,resnet,atc_ne,logit,0.4043098199440865,0.5563787338657784,0.0713224622539177
OfficeHome,resnet,nuclear,batch,0.1035943014149097,0.7696769212669085,0.0524433567230774
OfficeHome,resnet,naive,const,0.0,0.0,0.1770279212650043
Office31,resnet,msp,logit,0.0,0.0,0.2968684572843225
Office31,resnet,energy,logit,-0.8564847617625067,0.5135481081269901,0.15991900299541595
Office31,resnet,entropy,logit,6.457635844650111,0.3223518800623528,0.2430834536210404
Office31,resnet,gradnorm,logit,-0.8358217384658313,0.44848516204658984,0.17711041444275988
Office31,resnet,mahalanobis,feat,-0.8383233714837212,0.9573944591259181,0.04945059484269111
Office31,resnet,knn,feat,-0.8156923054440395,0.9571153680861659,0.050823559641245936
Office31,resnet,vim,feat,-0.8040551132891678,0.9691419794489885,0.042819533241529865
Office31,resnet,react,logit,6.433782392166122,0.34822325666130893,0.23039405577689703
Office31,resnet,atc,logit,-0.672462085153699,0.08224104167209778,0.2732094802077765
Office31,resnet,atc_ne,logit,-0.6712142955878556,0.07385936991987274,0.2756221773132181
Office31,resnet,nuclear,batch,0.23522729659913869,0.9647583848175988,0.04876747907030372
Office31,resnet,naive,const,0.0,0.0,0.2416611283964722
NICO,resnet,msp,logit,0.0,0.0,0.3516548554370908
NICO,resnet,energy,logit,-0.9093626676195684,0.8085576960484585,0.12193028644339492
NICO,resnet,entropy,logit,3.248770370802575,0.06761265005631134,0.3290142302980578
NICO,resnet,gradnorm,logit,-0.7857362463714911,0.7199192969207127,0.15631576749416232
NICO,resnet,mahalanobis,feat,-0.8261669064964058,0.7952711532092365,0.1269143883774185
NICO,resnet,knn,feat,-0.836246992557896,0.7902036123170828,0.127495206655007
NICO,resnet,vim,feat,-0.7668327224378069,0.6905926517857983,0.16426119770954795
NICO,resnet,react,logit,-1.4332294387468563,0.3522799363377458,0.25703264562533656
NICO,resnet,atc,logit,-0.8355383852434565,0.23265260687197564,0.2855513220913456
NICO,resnet,atc_ne,logit,-0.8082626987904167,0.2219026945338043,0.2882163643555577
NICO,resnet,nuclear,batch,0.2245482727995501,0.8729692855678628,0.10004647413662134
NICO,resnet,naive,const,0.0,0.0,0.3614712587511497
IWildCam,resnet,msp,logit,-0.2725730927801419,0.4828663104187989,0.08234053455055287
IWildCam,resnet,energy,logit,-0.3044055323135036,0.369723352312606,0.08913632503698724
IWildCam,resnet,entropy,logit,-0.27310697524645866,0.48754567538792415,0.08198950717437158
IWildCam,resnet,gradnorm,logit,-0.2878333216115989,0.6552264180652395,0.0687950707227958
IWildCam,resnet,mahalanobis,feat,-0.31173922199817894,0.691558371691692,0.06563888631730311
IWildCam,resnet,knn,feat,-0.3333701035205229,0.755246374887815,0.05905061488412892
IWildCam,resnet,vim,feat,-0.328631805113486,0.7468338764817917,0.0597130005846815
IWildCam,resnet,react,logit,-0.2689447850605475,0.41677757516232905,0.08544905166895904
IWildCam,resnet,atc,logit,0.5506244330872174,0.4295709395104841,0.08769498429742777
IWildCam,resnet,atc_ne,logit,0.5264013739072697,0.45404579861787875,0.08576465149501059
IWildCam,resnet,nuclear,batch,0.17771079307494672,0.7335399477318991,0.06103754166305643
IWildCam,resnet,naive,const,0.0,0.0,0.2514867621956142
Camelyon17,resnet,msp,logit,0.0,0.0,0.22644736118512368
Camelyon17,resnet,energy,logit,-0.6553229554476073,0.0823726262031762,0.21015216485145485
Camelyon17,resnet,entropy,logit,0.0,0.0,0.22644736118512368
Camelyon17,resnet,gradnorm,logit,0.8911536983997663,0.028316860089118268,0.21672313926819078
Camelyon17,resnet,mahalanobis,feat,-0.5639448802821201,0.5781339177262979,0.12539244692119605
