Dataset,Model,feat,rho_mean,rho_dr
CCT,resnet,cross_entropy,0.2213864667620256,0.3195319313346671
CCT,resnet,energy,0.28641483712920907,0.589021719587128
CCT,resnet,grad_magnitude,0.49160795979736405,0.5604025709672793
CCT,resnet,knn,0.9655027292261736,0.8813070264965817
CCT,resnet,softmax,0.6468999396380418,0.5836393140980511
CCT,resnet,typicality,0.7732528583658332,0.7207531809703931
CCT,vit,cross_entropy,0.9771975493903654,0.9772695718196187
CCT,vit,energy,0.9824791254337605,0.9780918606338334
CCT,vit,grad_magnitude,0.9401056188997119,0.9372646779735684
CCT,vit,knn,0.9745469863886537,0.9107589398735516
CCT,vit,softmax,0.9361076491922465,0.9576921302880306
CCT,vit,typicality,0.8633756242159304,0.8739090553108321
NICO,resnet,cross_entropy,0.37602229882262816,0.5243867873638242
NICO,resnet,energy,0.8994864041548176,0.8870923491271935
NICO,resnet,grad_magnitude,0.8831545216564458,0.9227130831280745
NICO,resnet,knn,0.9587525108392057,0.7715966975433733
NICO,resnet,softmax,0.5713925718474178,0.5484733910671317
NICO,resnet,typicality,0.49866063765885865,0.31653237338847307
NICO,vit,cross_entropy,0.912008765515426,0.9020501596311918
NICO,vit,energy,0.903820828723909,0.8962435510270018
NICO,vit,grad_magnitude,0.8536302271144794,0.36338807715143373
NICO,vit,knn,0.8474879882419692,0.781529417757328
NICO,vit,softmax,0.9351916268923369,0.9320130026222754
NICO,vit,typicality,0.10990892808409149,-0.3078282556313203
Office31,resnet,cross_entropy,-0.2487985795033661,-0.3031994268132182
Office31,resnet,energy,-0.284661168795678,-0.30559544645215875
Office31,resnet,grad_magnitude,0.6211902123630011,0.6544784750056822
Office31,resnet,knn,0.9689005088266238,0.9275094035997474
Office31,resnet,softmax,-0.0010245277310818668,0.3098639256544292
Office31,resnet,typicality,0.7571434977633974,0.7044376241769149
Office31,vit,cross_entropy,0.7213144478958167,0.5737610533498747
Office31,vit,energy,0.5320248774332527,0.4300817246164045
Office31,vit,grad_magnitude,-0.6557729662846277,-0.6962478698187085
Office31,vit,knn,0.7433499460237163,0.6332556188938175
Office31,vit,softmax,0.6682495598021901,0.619996846338987
Office31,vit,typicality,0.5561084182156067,0.5011872985280156
OfficeHome,resnet,cross_entropy,0.46355936033298656,0.44394499669583765
OfficeHome,resnet,energy,0.39238067591383047,0.323036983019004
OfficeHome,resnet,grad_magnitude,0.608236978101051,-0.34680719776815433
OfficeHome,resnet,knn,0.7232819673306577,0.7003021027038815
OfficeHome,resnet,softmax,-0.42119730216438234,-0.6209127635667288
OfficeHome,resnet,typicality,0.549188085267141,-0.5984289663986244
OfficeHome,vit,cross_entropy,0.9522518998401245,0.9449960042659783
OfficeHome,vit,energy,0.9518680667186254,0.9449427900468741
OfficeHome,vit,grad_magnitude,-0.4281309815947091,0.19642283943939426
OfficeHome,vit,knn,0.9541299037187729,0.9468414225408324
OfficeHome,vit,softmax,0.9369263591471316,0.8939417366835691
OfficeHome,vit,typicality,0.450691088622224,-0.01084817615246678
Polyp,deeplabv3plus,cross_entropy,0.575976391369906,0.7782917133937329
Polyp,deeplabv3plus,energy,0.725566433248132,0.6794630112569535
Polyp,deeplabv3plus,grad_magnitude,0.43257017030333617,0.4909893318864079
Polyp,deeplabv3plus,knn,0.8362358511733009,0.7845294100841205
Polyp,deeplabv3plus,typicality,0.11751590000182002,-0.318914212489137
Polyp,segformer,cross_entropy,0.8747205576075526,0.7561994633004564
Polyp,segformer,energy,0.8238297210917039,0.8808298384716232
Polyp,segformer,grad_magnitude,-0.4915005766157058,-0.5260082750810912
Polyp,segformer,knn,0.7608738946956027,0.7493679126625878
Polyp,segformer,typicality,0.1631040401796156,-0.26117191875041895
Polyp,unet,cross_entropy,0.6975453578197314,0.7594966695038176
Polyp,unet,energy,0.89673502100534,0.865657816167315
Polyp,unet,grad_magnitude,-0.3400510713766332,-0.3031731423180072
Polyp,unet,knn,0.682480665126633,0.6440244473040476
Polyp,unet,typicality,0.1923021883344365,-0.22184567935382632
