ds,arch,target,pred_MAE,ens_members,n_ens,D1_skew,D2_skew,D1_fire_logit_only,D1_fire_feat_only,D1_fire_both,D1_fire_hidden
CCT,resnet,ensemble,0.0628929488509109,gradnorm|mahalanobis|knn|vim|react|nuclear,6.0,0.846899617825544,-0.6861914519625906,0.0,0.0,0.0,1.0
CCT,resnet,msp,0.2927409155384642,,,0.5752564358741534,-0.1647745500630622,,,,
CCT,resnet,energy,0.2869531135733393,,,0.7523175840582594,-0.90625,,,,
CCT,resnet,entropy,0.2934134510019127,,,0.5755100165729549,-0.1647838262903256,,,,
CCT,resnet,gradnorm,0.1175955711787719,,,0.770605299563089,-0.8875488293282063,,,,
CCT,resnet,mahalanobis,0.1065808661109192,,,0.8624999970197678,-0.7346541965118651,,,,
CCT,resnet,knn,0.0613850631881923,,,0.8624999970197678,-0.8162391651212506,,,,
CCT,resnet,vim,0.0841996339635239,,,0.8624999970197678,-0.7735341069759493,,,,
CCT,resnet,react,0.0835977586615167,,,0.8607924193111044,-0.8889037699132748,,,,
CCT,resnet,atc,0.2948452539633868,,,0.5894406393262726,-0.1587993512177548,,,,
CCT,resnet,atc_ne,0.2950432571052271,,,0.5893954055630727,-0.1589151309276952,,,,
CCT,resnet,nuclear,0.0706704174081112,,,0.8624999970197678,-0.0162686439249969,,,,
CCT,resnet,naive,0.3073470677704887,,,0.8234374970197678,0.0546875,,,,
OfficeHome,resnet,ensemble,0.062994808860603,msp|energy|entropy|gradnorm|mahalanobis|knn|vim|atc|atc_ne|nuclear,10.0,-0.6404498545588042,-0.5145938535207563,0.0,0.0,0.0,1.0
OfficeHome,resnet,msp,0.0765921605390871,,,-0.6095239205401962,-0.4095239324611252,,,,
OfficeHome,resnet,energy,0.0754670295444572,,,-0.6085911029812012,-0.4085911149021302,,,,
OfficeHome,resnet,entropy,0.0765063726736052,,,-0.6094955713226654,-0.4094955832435943,,,,
OfficeHome,resnet,gradnorm,0.0611898516276397,,,-0.5884194391582085,-0.6528042757313581,,,,
OfficeHome,resnet,mahalanobis,0.0538072290758048,,,-0.5832023669095827,-0.6754331331536045,,,,
OfficeHome,resnet,knn,0.0530443389661577,,,-0.5750906859928755,-0.6791322975747649,,,,
OfficeHome,resnet,vim,0.0684557672608907,,,-0.5748292871505618,-0.7000000476837158,,,,
