ds,config,benign_n,D1_hide_success,D1_reported_up,D2_alarm_success,D2_reported_down
CCT,maha,62,1.0,0.32820134101017484,1.0,-0.6141749485082603
CCT,feature4,62,1.0,0.23020134614397614,1.0,-0.6279428933612665
CCT,ensemble8,62,0.4838709533214569,0.0017398642648099871,1.0,-0.48138529418503884
OfficeHome,maha,18,1.0,0.12675032689803237,1.0,-0.2215808836124847
OfficeHome,feature4,18,1.0,0.07882768013327338,1.0,-0.2252636905360341
OfficeHome,ensemble8,18,1.0,0.0,1.0,-0.0747708343517921
Office31,maha,41,0.9999999403953552,0.4844626472193874,0.9999999403953552,-0.4070467549461408
Office31,feature4,41,0.9999999403953552,0.3017033202434792,0.9999999403953552,-0.4340499315194942
Office31,ensemble8,41,0.9999999403953552,0.0,0.9999999403953552,-0.07088248954308413
NICO,maha,45,1.0,0.30265314788240516,1.0,-0.6332299678749976
NICO,feature4,45,1.0,0.27010077843289537,1.0,-0.6617953049841698
NICO,ensemble8,45,1.0,0.0,1.0,-0.5100247081717846
Camelyon17,maha,56,1.0,0.06346213059323402,1.0,-0.24168925979488654
Camelyon17,feature4,56,1.0,0.02514549344942163,1.0,-0.12098787415461365
Camelyon17,ensemble8,56,0.9821429252624512,-0.0024350649627714605,1.0,-0.1656279790825288
IWildCam,maha,39,1.0,0.14409202368298013,1.0,-0.2763899091267468
IWildCam,feature4,39,1.0,0.10914202940776663,1.0,-0.28083138201794683
IWildCam,ensemble8,39,1.0,0.0,0.8974359035491943,-0.2569391029051328
