ds,arch,source,target,pred_MAE_j,D1_skew,D2_skew
CCT,resnet,msp,msp,0.17965102324177332,-0.013364886767443407,-0.860769959049108
CCT,resnet,msp,energy,0.17921693860637886,-0.019414539429399663,-0.843718923159241
CCT,resnet,msp,entropy,0.1795838092324005,-0.013319218058250315,-0.8604940317394321
CCT,resnet,msp,gradnorm,0.1020825666730813,0.17480782117298593,-0.6255738535989159
CCT,resnet,msp,mahalanobis,0.08339595072128024,0.03780653297991865,-0.4911154714631495
CCT,resnet,msp,knn,0.057289956249054065,0.10081900230623275,-0.45122348691163416
CCT,resnet,msp,vim,0.05953619630693652,0.4264184582270488,-0.21417430082123534
CCT,resnet,msp,react,0.10495608968684995,0.19502135154085842,-0.5834306894179252
CCT,resnet,energy,msp,0.17965102324177332,0.1667403553358544,-0.8332596446641456
CCT,resnet,energy,energy,0.17921693860637886,0.15751006864434075,-0.8596958158366407
CCT,resnet,energy,entropy,0.1795838092324005,0.166728459393238,-0.833271540606762
CCT,resnet,energy,gradnorm,0.1020825666730813,0.23058905247897543,-0.9914203433809028
CCT,resnet,energy,mahalanobis,0.08339595072128024,0.08064321632197413,-0.9111214047524683
CCT,resnet,energy,knn,0.057289956249054065,0.07040643263969026,-0.9381358581482493
CCT,resnet,energy,vim,0.05953619630693652,1.0,-0.9365900872170769
CCT,resnet,energy,react,0.10495608968684995,0.4635140905261156,-0.9914891226449225
CCT,resnet,entropy,msp,0.17965102324177332,0.017922637903122263,-0.8713155782639759
CCT,resnet,entropy,energy,0.17921693860637886,0.013423927597404212,-0.844811360332224
CCT,resnet,entropy,entropy,0.1795838092324005,0.017973103665929163,-0.8709293187211823
CCT,resnet,entropy,gradnorm,0.1020825666730813,0.19404627942906716,-0.6287007464983508
CCT,resnet,entropy,mahalanobis,0.08339595072128024,0.06955256283373945,-0.5487633713398807
CCT,resnet,entropy,knn,0.057289956249054065,0.12402267721768312,-0.5451890063511228
CCT,resnet,entropy,vim,0.05953619630693652,0.5505665032364058,-0.2813757979323659
CCT,resnet,entropy,react,0.10495608968684995,0.24482307016089566,-0.6087086441985214
CCT,resnet,gradnorm,msp,0.17965102324177332,0.1355619977631214,-0.8328011394270864
CCT,resnet,gradnorm,energy,0.17921693860637886,0.15245754679941512,-0.854097076494871
CCT,resnet,gradnorm,entropy,0.1795838092324005,0.1358763015197213,-0.8328178324238795
CCT,resnet,gradnorm,gradnorm,0.1020825666730813,0.4025681854314415,-0.9914203433809028
CCT,resnet,gradnorm,mahalanobis,0.08339595072128024,0.45947206943513397,-0.9193567836780259
CCT,resnet,gradnorm,knn,0.057289956249054065,0.5316918673580561,-0.9381358581482493
CCT,resnet,gradnorm,vim,0.05953619630693652,0.5842212709323088,-0.8777888363888399
CCT,resnet,gradnorm,react,0.10495608968684995,0.3551799850491219,-0.987877999807847
CCT,resnet,mahalanobis,msp,0.17965102324177332,0.13464498739661113,-0.8328011394270864
CCT,resnet,mahalanobis,energy,0.17921693860637886,0.1493167897828707,-0.8476790078311836
CCT,resnet,mahalanobis,entropy,0.1795838092324005,0.13496888526043865,-0.8328178324238795
CCT,resnet,mahalanobis,gradnorm,0.1020825666730813,0.4025681854314415,-0.8788521990012463
CCT,resnet,mahalanobis,mahalanobis,0.08339595072128024,1.0,-0.9193567836780259
CCT,resnet,mahalanobis,knn,0.057289956249054065,1.0,-0.9381358581482493
CCT,resnet,mahalanobis,vim,0.05953619630693652,1.0,-0.8861890511282655
CCT,resnet,mahalanobis,react,0.10495608968684995,0.2829572435444086,-0.821765725535357
CCT,resnet,knn,msp,0.17965102324177332,0.15802875604694633,-0.8328011394270864
CCT,resnet,knn,energy,0.17921693860637886,0.15641763147135768,-0.8461769068945983
CCT,resnet,knn,entropy,0.1795838092324005,0.15810800413143608,-0.8328178324238795
CCT,resnet,knn,gradnorm,0.1020825666730813,0.4025681854314415,-0.8913597705989859
CCT,resnet,knn,mahalanobis,0.08339595072128024,1.0,-0.9193567836780259
CCT,resnet,knn,knn,0.057289956249054065,1.0,-0.9381358581482493
CCT,resnet,knn,vim,0.05953619630693652,1.0,-0.7937870044292615
CCT,resnet,knn,react,0.10495608968684995,0.43462499595825316,-0.8000989071519888
CCT,resnet,vim,msp,0.17965102324177332,0.16719886057291358,-0.8328011394270864
CCT,resnet,vim,energy,0.17921693860637886,0.15751006864434075,-0.8584668246740281
CCT,resnet,vim,entropy,0.1795838092324005,0.16718216757612045,-0.8328178324238795
CCT,resnet,vim,gradnorm,0.1020825666730813,0.2587311003156627,-0.957024533228892
CCT,resnet,vim,mahalanobis,0.08339595072128024,0.13829105434924815,-0.9193567836780259
CCT,resnet,vim,knn,0.057289956249054065,0.11311801488824935,-0.9381358581482493
CCT,resnet,vim,vim,0.05953619630693652,1.0,-0.9365900872170769
CCT,resnet,vim,react,0.10495608968684995,0.4635140905261156,-0.9806557270133909
CCT,resnet,react,msp,0.17965102324177332,0.16719886057291358,-0.8328011394270864
CCT,resnet,react,energy,0.17921693860637886,0.15751006864434075,-0.8595592617188172
CCT,resnet,react,entropy,0.1795838092324005,0.16718216757612045,-0.8328178324238795
CCT,resnet,react,gradnorm,0.1020825666730813,0.37442614640108407,-0.9914203433809028
CCT,resnet,react,mahalanobis,0.08339595072128024,0.08064321632197413,-0.9111214047524683
CCT,resnet,react,knn,0.057289956249054065,0.15582966129123943,-0.9381358581482493
CCT,resnet,react,vim,0.05953619630693652,1.0,-0.9365900872170769
CCT,resnet,react,react,0.10495608968684995,0.4635140905261156,-0.9914891226449225
OfficeHome,resnet,msp,msp,0.05356476068727241,0.12489295089192187,-1.0
