attack,readout,evade_rate,clean_flag,z_reduction
msp,msp,1.0,0.25,0.363736093044281
msp,energy,0.84375,0.203125,4.723636627197266
msp,entropy,1.0,0.25,0.3909732699394226
msp,gradnorm,0.0,0.046875,-107.10504150390625
msp,mahalanobis,0.0,0.390625,-11908.2041015625
msp,knn,0.0,0.421875,-227.92909240722656
msp,vim,0.0,0.328125,-147.544921875
msp,react,0.0,0.234375,-3.9028820991516113
energy,msp,1.0,0.25,0.363736093044281
energy,energy,1.0,0.203125,31.211225509643555
energy,entropy,1.0,0.25,0.3909732699394226
energy,gradnorm,0.0,0.046875,-152.8322296142578
energy,mahalanobis,0.0,0.390625,-130071.59375
energy,knn,0.0,0.421875,-324.81048583984375
energy,vim,0.0,0.328125,-181.7910919189453
energy,react,0.109375,0.234375,-2.084449052810669
entropy,msp,1.0,0.25,0.363736093044281
entropy,energy,0.90625,0.203125,6.178994178771973
entropy,entropy,1.0,0.25,0.3909732699394226
entropy,gradnorm,0.0,0.046875,-103.70826721191406
entropy,mahalanobis,0.0,0.390625,-11529.4541015625
entropy,knn,0.0,0.421875,-221.2687530517578
entropy,vim,0.0,0.328125,-142.89389038085938
entropy,react,0.0,0.234375,-3.8480026721954346
gradnorm,msp,0.0,0.25,-7.753143310546875
gradnorm,energy,0.984375,0.203125,-0.4495515525341034
gradnorm,entropy,0.0,0.25,-9.690346717834473
gradnorm,gradnorm,1.0,0.046875,3.5335495471954346
gradnorm,mahalanobis,0.140625,0.390625,-0.3999074101448059
gradnorm,knn,0.0,0.421875,-1.0362387895584106
gradnorm,vim,0.234375,0.328125,-0.6646251678466797
gradnorm,react,1.0,0.234375,-0.15208032727241516
mahalanobis,msp,0.0,0.25,-3.55973219871521
mahalanobis,energy,0.359375,0.203125,-0.7443937063217163
mahalanobis,entropy,0.0,0.25,-4.256437301635742
mahalanobis,gradnorm,1.0,0.046875,2.665041446685791
mahalanobis,mahalanobis,0.828125,0.390625,0.36979353427886963
mahalanobis,knn,0.0,0.421875,-0.7560731172561646
mahalanobis,vim,0.625,0.328125,-0.3181895911693573
mahalanobis,react,0.8125,0.234375,-0.49152734875679016
knn,msp,0.171875,0.25,-1.7279438972473145
knn,energy,0.640625,0.203125,-0.45302143692970276
knn,entropy,0.171875,0.25,-1.8344863653182983
knn,gradnorm,0.859375,0.046875,0.5333070755004883
knn,mahalanobis,0.0,0.390625,-9.302209854125977
knn,knn,0.015625,0.421875,-2.2650742530822754
knn,vim,0.03125,0.328125,-2.8368070125579834
knn,react,0.671875,0.234375,-0.7010190486907959
vim,msp,1.0,0.25,0.363736093044281
vim,energy,1.0,0.203125,6.968215465545654
vim,entropy,1.0,0.25,0.3909732699394226
vim,gradnorm,0.046875,0.046875,-6.3091020584106445
vim,mahalanobis,0.0,0.390625,-5.187849998474121
vim,knn,0.0,0.421875,-9.018340110778809
vim,vim,1.0,0.328125,2.6971843242645264
vim,react,0.953125,0.234375,1.1301188468933105
react,msp,1.0,0.25,0.36373358964920044
react,energy,1.0,0.203125,4.64706563949585
react,entropy,1.0,0.25,0.39095985889434814
react,gradnorm,0.296875,0.046875,-2.777566432952881
react,mahalanobis,0.0,0.390625,-32.47811508178711
react,knn,0.0,0.421875,-7.242368221282959
react,vim,0.109375,0.328125,-3.6444008350372314
react,react,0.890625,0.234375,2.050407886505127
