ds,arch,source,target,kappa_src,pred_MAE_j,r2_j,D1_skew,D2_skew
CCT,resnet,msp,msp,8.0,0.2927409155384642,0.2227623067513754,0.6292336932728468,-0.6103323587939535
CCT,resnet,msp,energy,8.0,0.2869531135733393,0.2403078401906154,0.5461916118621761,-0.2007453960793177
CCT,resnet,msp,entropy,8.0,0.2934134510019127,0.2212451175002238,0.6287644175816449,-0.6071216383819601
CCT,resnet,msp,gradnorm,8.0,0.1175955711787719,0.775094695299531,0.5899595731757381,-0.1641587871471866
CCT,resnet,msp,mahalanobis,8.0,0.1065808661109192,0.8442902764018472,0.1061579009815387,-0.474412955984355
CCT,resnet,msp,knn,8.0,0.0613850631881923,0.9480904158616604,0.1601101812297317,-0.4388263451702239
CCT,resnet,msp,vim,8.0,0.0841996339635239,0.892484002703356,0.4430153481907013,-0.2688037437638462
CCT,resnet,msp,react,8.0,0.0835977586615167,0.8401519500715944,0.6089486034798761,-0.0752785450474566
CCT,resnet,msp,atc,8.0,0.2948452539633868,0.2146776721567985,0.5439306105901763,-0.587546183421117
CCT,resnet,msp,atc_ne,8.0,0.2950432571052271,0.2138357210556266,0.5439559228297821,-0.5865097124620546
CCT,resnet,msp,nuclear,8.0,0.0706704174081112,0.9294140546586768,0.8374999910593033,-0.085901330269933
CCT,resnet,msp,naive,8.0,0.3030437409270106,0.0,0.7749999910593033,-0.0625
CCT,resnet,energy,msp,8.0,0.2927409155384642,0.2227623067513754,0.8850704711139774,-0.1149295288860225
CCT,resnet,energy,energy,8.0,0.2869531135733393,0.2403078401906154,0.8898175870384917,-1.0
CCT,resnet,energy,entropy,8.0,0.2934134510019127,0.2212451175002238,0.8837469105697399,-0.1162530894302601
CCT,resnet,energy,gradnorm,8.0,0.1175955711787719,0.775094695299531,0.4411681015031988,-0.9812988293282064
CCT,resnet,energy,mahalanobis,8.0,0.1065808661109192,0.8442902764018472,0.1715958034881348,-0.8284041965118651
CCT,resnet,energy,knn,8.0,0.0613850631881923,0.9480904158616604,0.1079031061037929,-0.9099891651212506
CCT,resnet,energy,vim,8.0,0.0841996339635239,0.892484002703356,1.0,-0.8672841069759494
CCT,resnet,energy,react,8.0,0.0835977586615167,0.8401519500715944,0.9982924222913366,-0.9826537699132748
CCT,resnet,energy,atc,8.0,0.2948452539633868,0.2146776721567985,0.88418404702037,-0.1158159529796299
CCT,resnet,energy,atc_ne,8.0,0.2950432571052271,0.2138357210556266,0.8835979609240715,-0.1164020390759285
CCT,resnet,energy,nuclear,8.0,0.0706704174081112,0.9294140546586768,1.0,0.0
CCT,resnet,energy,naive,8.0,0.3030437409270106,0.0,0.9375,-0.0625
CCT,resnet,entropy,msp,8.0,0.2927409155384642,0.2227623067513754,0.6030456796666728,-0.954960389077416
CCT,resnet,entropy,energy,8.0,0.2869531135733393,0.2403078401906154,0.6268396035459356,-0.258376388012787
CCT,resnet,entropy,entropy,8.0,0.2934134510019127,0.2212451175002238,0.6031021177492631,-0.9485953864926944
CCT,resnet,entropy,gradnorm,8.0,0.1175955711787719,0.775094695299531,0.5934156940547528,-0.1363649047129128
CCT,resnet,entropy,mahalanobis,8.0,0.1065808661109192,0.8442902764018472,0.1259888392452413,-0.5429273808525213
CCT,resnet,entropy,knn,8.0,0.0613850631881923,0.9480904158616604,0.1794320193723567,-0.5342516969071857
CCT,resnet,entropy,vim,8.0,0.0841996339635239,0.892484002703356,0.4862349725776039,-0.3645605961702292
CCT,resnet,entropy,react,8.0,0.0835977586615167,0.8401519500715944,0.6831150023122753,-0.130456774205861
