attack,readout,evade_rate,clean_flag,z_reduction
msp,msp,1.0,0.359375,0.38027235865592957
msp,energy,1.0,0.421875,30.06399917602539
msp,entropy,1.0,0.359375,0.45116108655929565
msp,gradnorm,0.0,1.0,-26.062210083007812
msp,mahalanobis,0.0,1.0,-91.61799621582031
msp,knn,0.0,1.0,-27.22509002685547
msp,vim,0.0,1.0,-28.729413986206055
msp,react,0.0,1.0,-9.027314186096191
energy,msp,1.0,0.359375,0.38027235865592957
energy,energy,1.0,0.421875,303.98382568359375
energy,entropy,1.0,0.359375,0.45116108655929565
energy,gradnorm,0.0,1.0,-300.6351623535156
energy,mahalanobis,0.0,1.0,-9519.19921875
energy,knn,0.0,1.0,-315.7983703613281
energy,vim,0.0,1.0,-340.0407409667969
energy,react,0.0,1.0,-14.53591251373291
entropy,msp,1.0,0.359375,0.38027235865592957
entropy,energy,1.0,0.421875,30.371919631958008
entropy,entropy,1.0,0.359375,0.45116108655929565
entropy,gradnorm,0.0,1.0,-26.16994285583496
entropy,mahalanobis,0.0,1.0,-92.4758529663086
entropy,knn,0.0,1.0,-27.34231185913086
entropy,vim,0.0,1.0,-28.867704391479492
entropy,react,0.0,1.0,-9.040968894958496
gradnorm,msp,0.0,0.359375,-6.116555690765381
gradnorm,energy,0.984375,0.421875,0.2969299852848053
gradnorm,entropy,0.0,0.359375,-10.071309089660645
gradnorm,gradnorm,1.0,1.0,4.69455623626709
gradnorm,mahalanobis,0.484375,1.0,3.022526741027832
gradnorm,knn,0.0,1.0,4.571362495422363
gradnorm,vim,0.125,1.0,6.46961784362793
gradnorm,react,0.984375,1.0,60.2026252746582
mahalanobis,msp,0.0,0.359375,-2.3339006900787354
mahalanobis,energy,0.890625,0.421875,0.039570510387420654
mahalanobis,entropy,0.0,0.359375,-3.8330132961273193
mahalanobis,gradnorm,1.0,1.0,4.568207263946533
mahalanobis,mahalanobis,0.890625,1.0,3.0250251293182373
mahalanobis,knn,0.0625,1.0,4.592921733856201
mahalanobis,vim,0.734375,1.0,6.533901691436768
mahalanobis,react,0.9375,1.0,55.00555419921875
knn,msp,0.109375,0.359375,-1.2917454242706299
knn,energy,0.796875,0.421875,0.1788347363471985
knn,entropy,0.109375,0.359375,-1.983946442604065
knn,gradnorm,0.875,1.0,4.361081123352051
knn,mahalanobis,0.0,1.0,3.010087013244629
knn,knn,0.0,1.0,4.50665807723999
knn,vim,0.046875,1.0,6.261815071105957
knn,react,0.734375,1.0,51.78847122192383
vim,msp,1.0,0.359375,0.38027235865592957
vim,energy,1.0,0.421875,6.912965297698975
vim,entropy,1.0,0.359375,0.4511609971523285
vim,gradnorm,0.0625,1.0,3.4728119373321533
vim,mahalanobis,0.0,1.0,3.0133752822875977
vim,knn,0.0,1.0,4.1387038230896
vim,vim,0.953125,1.0,6.75585412979126
vim,react,0.953125,1.0,80.72709655761719
react,msp,1.0,0.359375,0.38023799657821655
react,energy,1.0,0.421875,4.735467910766602
react,entropy,1.0,0.359375,0.45098206400871277
react,gradnorm,0.0625,1.0,3.805114984512329
react,mahalanobis,0.0,1.0,2.9297733306884766
react,knn,0.0,1.0,4.042948246002197
react,vim,0.0,1.0,5.834452152252197
react,react,0.921875,1.0,87.35480499267578
