Dataset,Model,n_errors,mean_abs_corr,cross_family_corr,PC1_var,PC1_2_var,feature_R2_from_confidence,n_confidently_wrong,frac_of_errors_conf_wrong,caught_by_mahalanobis,caught_by_vim,caught_by_react,caught_by_knn
CCT,vit,87255,0.48721484609163773,0.4453869351829323,0.5270614878622346,0.7658351249794428,0.3180844378381088,62457,0.7157985215746948,0.8145283955361289,0.8162415742030517,0.5097907360263861,0.7883023520181885
OfficeHome,resnet,61410,0.42688742210880903,0.46251284505832085,0.5383924458106637,0.7101955617109443,0.4444614825735286,45783,0.7455300439667807,0.23119935347181267,0.13400170368914227,0.04912303693510692,0.21274272109735054
OfficeHome,vit,33153,0.3472144026216624,0.29735920990862585,0.4696933477389098,0.7946867941221165,0.21206524754037134,30198,0.9108677947697041,0.19335717597191868,0.1895158619776144,0.10063580369560898,0.07192529306576595
Office31,resnet,22666,0.5260562587637445,0.473349033264034,0.6274885753775417,0.7849835412157548,0.5399800350642896,21853,0.9641312979793524,0.7072255525557132,0.7019173568846383,0.029652679266004667,0.6522674232370842
Office31,vit,36781,0.2791864422126439,0.19764103736535285,0.3846797778320372,0.6528968275582849,0.10869596244589638,34112,0.9274353606481608,0.1875,0.1565138367729831,0.04074812382739212,0.05927532833020638
NICO,resnet,158725,0.5182139735128178,0.5362231761349371,0.5710922826777348,0.7195950358703544,0.5644393422914146,125086,0.7880674121908962,0.5251107238220104,0.4601793965751563,0.19968661560846138,0.5451049677821659
NICO,vit,162788,0.24923533924353466,0.1325039041124626,0.3543066127751801,0.61665449477126,0.047170840456800534,122754,0.7540727817775266,0.13070042524072537,0.3044625837039934,0.27993385144272287,0.0730485360965834
Camelyon17,resnet,732862,0.7670249285892281,0.6907875400119158,0.7310691550777247,0.8675687179201331,0.7289342220808817,614097,0.8379435691849216,0.6250168947251005,0.6451163252710891,0.059471060760759295,0.4775955590077789
Camelyon17,vit,426785,0.7106643190906672,0.6146998383941572,0.6669306975785457,0.8724382879348063,0.46742748046022076,350777,0.8219056433567253,0.5004518540269174,0.43893983927110386,0.060497124954030625,0.34133081701479856
IWildCam,resnet,876284,0.6794892784822896,0.6155643722043971,0.7654736018082371,0.8899221973942752,0.8008797585644585,600347,0.6851055137375553,0.34449576661497433,0.28783187056818804,0.07114718654378217,0.31918707014443315
IWildCam,vit,947060,0.46753969135238077,0.40191463510136205,0.5137251389903863,0.775901181043126,0.3225230662611137,881302,0.9305661732097227,0.14807069540293794,0.16797533649078294,0.11483010364211133,0.235207681362348
