ds,arch,source,target,kappa_src,pred_MAE_j,r2_j,D1_skew,D2_skew
CCT,resnet,msp,msp,8.0,0.2927409155384642,0.22276230675137543,0.5959763306287376,-0.2447842075765183
CCT,resnet,msp,energy,8.0,0.28695311357333936,0.24030784019061546,0.6616889641260535,-0.10509064092537002
CCT,resnet,msp,entropy,8.0,0.29341345100191274,0.2212451175002237,0.5956835813303957,-0.24432102860698013
CCT,resnet,msp,gradnorm,8.0,0.11759557117877194,0.775094695299531,0.6444382249792545,-0.032348323197018636
CCT,resnet,msp,mahalanobis,8.0,0.10658086611091926,0.8442902764018472,0.20410169092297736,0.043007461707307404
CCT,resnet,msp,knn,8.0,0.06138506318819234,0.9480904158616603,0.2690465605632929,0.06535947322845459
CCT,resnet,msp,vim,8.0,0.08419963396352398,0.8924840027033561,0.6697277586384478,0.06535947322845459
CCT,resnet,msp,react,8.0,0.08359775866151672,0.8401519500715944,0.7384734580603921,0.018772003393915604
CCT,resnet,msp,atc,8.0,0.2948452539633868,0.21467767215679845,0.5718737384524146,-0.26494024520899473
CCT,resnet,msp,atc_ne,8.0,0.29504325710522716,0.21383572105562665,0.5717548848447073,-0.2647885957851883
CCT,resnet,msp,nuclear,8.0,0.07067041740811128,0.9294140546586767,0.8235294073820114,0.06535947322845459
CCT,resnet,msp,naive,8.0,0.30262818241637224,0.0,0.7493106573820114,-0.00885927677154541
CCT,resnet,energy,msp,8.0,0.2927409155384642,0.22276230675137543,0.8400210511111839,-0.516053007665392
CCT,resnet,energy,energy,8.0,0.28695311357333936,0.24030784019061546,0.8898175870384917,-0.9281045794487
CCT,resnet,energy,entropy,8.0,0.29341345100191274,0.2212451175002237,0.8391098150731383,-0.5204866762019194
CCT,resnet,energy,gradnorm,8.0,0.11759557117877194,0.775094695299531,0.7569647268696985,-0.2757756398155571
CCT,resnet,energy,mahalanobis,8.0,0.10658086611091926,0.8442902764018472,0.26115715208220536,-0.4400586775948494
CCT,resnet,energy,knn,8.0,0.06138506318819234,0.9480904158616603,0.3270150470804375,-0.5449569557941785
CCT,resnet,energy,vim,8.0,0.08419963396352398,0.8924840027033561,1.0,-0.7390611261856004
CCT,resnet,energy,react,8.0,0.08359775866151672,0.8401519500715944,0.9982924222913366,-0.8209985724188422
CCT,resnet,energy,atc,8.0,0.2948452539633868,0.21467767215679845,0.8198389181980188,-0.6444750952700936
CCT,resnet,energy,atc_ne,8.0,0.29504325710522716,0.21383572105562665,0.8194741527549485,-0.6501203889659501
CCT,resnet,energy,nuclear,8.0,0.07067041740811128,0.9294140546586767,1.0,-0.007390500247481557
CCT,resnet,energy,naive,8.0,0.30262818241637224,0.0,0.92578125,-0.002323329448699951
CCT,resnet,entropy,msp,8.0,0.2927409155384642,0.22276230675137543,0.5826343543296635,-0.2287954470376996
CCT,resnet,entropy,energy,8.0,0.28695311357333936,0.24030784019061546,0.7181239923124844,-0.08579757310099068
CCT,resnet,entropy,entropy,8.0,0.29341345100191274,0.2212451175002237,0.5828226503211863,-0.22853843030167298
CCT,resnet,entropy,gradnorm,8.0,0.11759557117877194,0.775094695299531,0.695280106025594,-0.050510468871614145
CCT,resnet,entropy,mahalanobis,8.0,0.10658086611091926,0.8442902764018472,0.21943434856829802,-0.0411483278700302
CCT,resnet,entropy,knn,8.0,0.06138506318819234,0.9480904158616603,0.2833144326896616,0.022007823927215786
CCT,resnet,entropy,vim,8.0,0.08419963396352398,0.8924840027033561,0.7339779280617594,0.05882352590560913
CCT,resnet,entropy,react,8.0,0.08359775866151672,0.8401519500715944,0.7969233799138503,0.018647468709865334
CCT,resnet,entropy,atc,8.0,0.2948452539633868,0.21467767215679845,0.5538937477974276,-0.2500278176160474
CCT,resnet,entropy,atc_ne,8.0,0.29504325710522716,0.21383572105562665,0.55397162367483,-0.24994994173864504
CCT,resnet,entropy,nuclear,8.0,0.07067041740811128,0.9294140546586767,0.8627450913190842,0.0350578464303416
CCT,resnet,entropy,naive,8.0,0.30262818241637224,0.0,0.7885263413190842,-0.01539522409439087
CCT,resnet,gradnorm,msp,8.0,0.2927409155384642,0.22276230675137543,0.7273974989644674,-0.11492952888602259
CCT,resnet,gradnorm,energy,8.0,0.28695311357333936,0.24030784019061546,0.8467692276419088,-0.6956400732744391
CCT,resnet,gradnorm,entropy,8.0,0.29341345100191274,0.2212451175002237,0.7200775590021021,-0.11625308943026014
CCT,resnet,gradnorm,gradnorm,8.0,0.11759557117877194,0.775094695299531,0.9022922035745268,-0.9812988293282063
CCT,resnet,gradnorm,mahalanobis,8.0,0.10658086611091926,0.8442902764018472,0.40445530983271805,-0.8284041965118651
