Dataset,Method,mean,median,std,count,MAE
CCT,ATC-MC,-0.0893716914112087,0.01862980769230771,0.18810265934804515,183,0.11794856194504644
CCT,ATC-NE,-0.09689156654115057,0.007211538461538436,0.21156431878763302,183,0.1214685947042443
CCT,Ours,-0.003232829837672817,-0.0035384322830069315,0.05900596558289371,183,0.040853541519239776
CCT,PRE,-0.14203135944470757,0.04116433181040158,0.26422032989571687,396,0.21807901407635338
CCT,PRE-0,0.30961781341153266,0.28664975588287556,0.14929618471067072,396,0.30961781341153266
NICO,ATC-MC,-0.011606717541060987,0.004807692307692291,0.06350978425574341,186,0.04671234891685364
NICO,ATC-NE,-0.14772516798474558,-0.04927884615384609,0.21834460726642632,186,0.15784027689017707
NICO,Ours,-0.005886192722680381,-0.007280853068650228,0.07223374526829109,186,0.050222747711729146
NICO,PRE,-0.33759169260226707,-0.3305713231118598,0.2922050826020236,450,0.34188191782199845
NICO,PRE-0,-0.1267120557073772,-0.010863303529916268,0.2396633805193607,450,0.1566859812299069
Office31,ATC-MC,-0.03568381938292039,-0.01785714285714285,0.06284753588750044,183,0.045851657009774414
Office31,ATC-NE,-0.07893095798965709,-0.0035714285714286698,0.2270775961861235,183,0.12411050521838464
Office31,Ours,-0.000120834044355301,-0.0080891703217231,0.05228740942544095,183,0.033449348552410836
Office31,PRE,-0.18508333321158746,0.007355463183445765,0.2887430260524502,396,0.2356494165232138
Office31,PRE-0,0.017322692012531976,0.04527535706757713,0.11228264254887528,396,0.0810900885716534
OfficeHome,ATC-MC,-0.05889167947591861,-0.033564814814814825,0.06273197915633032,184,0.05936973905723906
OfficeHome,ATC-NE,-0.09793267823159127,-0.08275462962962965,0.09280045201188919,184,0.10631130141999708
OfficeHome,Ours,-0.0013438390400048964,-0.0037122875294319235,0.02123471964892445,184,0.017016555380186826
OfficeHome,PRE,-0.09278186481122634,-0.03882606137800515,0.12190460174424642,414,0.10358988067899805
OfficeHome,PRE-0,0.21778214185464026,0.21511765357230164,0.0621968332637541,414,0.21778214185464026
Polyp,ATC-NE,0.020173352879481306,0.03125,0.14696971354690977,184,0.10763938548817696
Polyp,Ours,0.007016849420939876,0.039379835377210654,0.15941057687672136,184,0.09703779653178292
Polyp,PRE,-0.11388139283163147,0.06323118724484172,0.3245149486701985,414,0.2581240177888187
Polyp,PRE-0,0.29285782848530184,0.33070176126603534,0.2147818432607125,414,0.30255448218900743
