attack,readout,evade_rate,clean_flag,z_reduction
msp,msp,0.921875,0.0,8.006316184997559
msp,energy,0.5,0.96875,-2.277029275894165
msp,entropy,0.921875,0.0,4.5223164558410645
msp,gradnorm,0.1875,0.96875,-11.58745002746582
msp,mahalanobis,0.0,1.0,-26.137012481689453
msp,knn,0.0,1.0,-13.769559860229492
msp,vim,0.0,1.0,-14.674202919006348
msp,react,1.0,0.0,9.408122062683105
energy,msp,1.0,0.0,40.45942306518555
energy,energy,1.0,0.96875,12.680863380432129
energy,entropy,1.0,0.0,24.43382453918457
energy,gradnorm,0.0,0.96875,-13.12082576751709
energy,mahalanobis,0.0,1.0,-0.4683268666267395
energy,knn,0.0,1.0,-5.954124927520752
energy,vim,0.0,1.0,-3.975684642791748
energy,react,1.0,0.0,33.9776496887207
entropy,msp,0.96875,0.0,20.084348678588867
entropy,energy,0.71875,0.96875,2.8679709434509277
entropy,entropy,0.96875,0.0,11.955835342407227
entropy,gradnorm,0.390625,0.96875,-3.1023623943328857
entropy,mahalanobis,0.0,1.0,-11.149688720703125
entropy,knn,0.0,1.0,-3.7824223041534424
entropy,vim,0.0,1.0,-6.494560241699219
entropy,react,1.0,0.0,10.893331527709961
gradnorm,msp,1.0,0.0,128.84408569335938
gradnorm,energy,1.0,0.96875,6.905954360961914
gradnorm,entropy,1.0,0.0,96.51978302001953
gradnorm,gradnorm,1.0,0.96875,11.212409019470215
gradnorm,mahalanobis,0.0,1.0,5.7114410400390625
gradnorm,knn,0.0,1.0,6.143566608428955
gradnorm,vim,0.0,1.0,9.012292861938477
gradnorm,react,1.0,0.0,10.828707695007324
mahalanobis,msp,1.0,0.0,56.01762771606445
mahalanobis,energy,1.0,0.96875,7.3189263343811035
mahalanobis,entropy,1.0,0.0,35.193023681640625
mahalanobis,gradnorm,1.0,0.96875,6.847262859344482
mahalanobis,mahalanobis,1.0,1.0,6.006195068359375
mahalanobis,knn,1.0,1.0,7.213870525360107
mahalanobis,vim,1.0,1.0,10.833513259887695
mahalanobis,react,1.0,0.0,13.238805770874023
knn,msp,1.0,0.0,3.535543918609619
knn,energy,1.0,0.96875,4.589613437652588
knn,entropy,1.0,0.0,2.8630776405334473
knn,gradnorm,1.0,0.96875,6.400516510009766
knn,mahalanobis,0.015625,1.0,5.786606311798096
knn,knn,1.0,1.0,8.344053268432617
knn,vim,0.4375,1.0,10.114500999450684
knn,react,0.984375,0.0,0.8620558381080627
vim,msp,0.0,0.0,-0.17618104815483093
vim,energy,0.0,0.96875,-1.925459861755371
vim,entropy,0.0,0.0,-0.20890969038009644
vim,gradnorm,0.078125,0.96875,0.5992273688316345
vim,mahalanobis,0.125,1.0,5.864636421203613
vim,knn,0.046875,1.0,5.304859161376953
vim,vim,1.0,1.0,12.553378105163574
vim,react,0.0,0.0,-14.580842018127441
react,msp,1.0,0.0,13.418691635131836
react,energy,1.0,0.96875,10.97990608215332
react,entropy,1.0,0.0,6.386829376220703
react,gradnorm,0.0,0.96875,-21.574487686157227
react,mahalanobis,0.0,1.0,-0.5603773593902588
react,knn,0.0,1.0,-10.332903861999512
react,vim,0.0,1.0,-2.7413434982299805
react,react,1.0,0.0,37.640743255615234
