Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,Fold,Shift,Shift Intensity,DR,Accuracy
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.025,jpeg,0.025,0.03125,0.8854166666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.05,jpeg,0.05,0.041666666666666664,0.8854166666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.07500000000000001,jpeg,0.07500000000000001,0.041666666666666664,0.8854166666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.1,jpeg,0.1,0.041666666666666664,0.8854166666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.125,jpeg,0.125,0.041666666666666664,0.8958333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.15000000000000002,jpeg,0.15000000000000002,0.041666666666666664,0.8854166666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.17500000000000002,jpeg,0.17500000000000002,0.041666666666666664,0.8854166666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.2,jpeg,0.2,0.041666666666666664,0.8958333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.225,jpeg,0.225,0.03125,0.8645833333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.25,jpeg,0.25,0.03125,0.8645833333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.275,jpeg,0.275,0.03125,0.8958333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.30000000000000004,jpeg,0.30000000000000004,0.03125,0.875
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.325,jpeg,0.325,0.041666666666666664,0.8854166666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.35000000000000003,jpeg,0.35000000000000003,0.041666666666666664,0.8958333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.375,jpeg,0.375,0.041666666666666664,0.8854166666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.4,jpeg,0.4,0.03125,0.8958333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.42500000000000004,jpeg,0.42500000000000004,0.041666666666666664,0.8958333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.45,jpeg,0.45,0.041666666666666664,0.8958333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.47500000000000003,jpeg,0.47500000000000003,0.03125,0.8854166666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,jpeg_0.5,jpeg,0.5,0.041666666666666664,0.8854166666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.025,hue,0.025,0.0625,0.875
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.05,hue,0.05,0.052083333333333336,0.875
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.07500000000000001,hue,0.07500000000000001,0.08333333333333333,0.8541666666666666
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.1,hue,0.1,0.08333333333333333,0.8125
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.125,hue,0.125,0.08333333333333333,0.8333333333333334
Polyp,kNN,id_quantile,EtisLaribDB,ind_val,hue_0.15000000000000002,hue,0.15000000000000002,0.09375,0.8229166666666666
